ID,gender,dir,degree,average
107702053,1,2,3,2435.3375
107702053,1,2,4,2385.3301
107702054,1,1,1,805.7227
107702054,1,1,2,1100.6583
107702054,1,1,3,1466.0712
107702054,1,1,4,1372.4273
107702054,1,2,1,1012.353
107702054,1,2,2,956.6822262
107702054,1,2,3,1100.5634
107702054,1,2,4,1205.4809
107702055,2,1,1,1015.9219
107702055,2,1,2,1826.8517
107702055,2,1,3,2333.1301
107702055,2,1,4,2206.812
107702055,2,2,1,1565.82
107702055,2,2,2,1735.086597
107702055,2,2,3,2218.2865
107702055,2,2,4,2268.507
107702056,1,1,1,931.1698
107702056,1,1,2,1423.5483
107702056,1,1,3,1672.8899
107702056,1,1,4,1735.599
107702056,1,2,1,1167.8002
107702056,1,2,2,1265.74235
107702056,1,2,3,1510.4148
107702056,1,2,4,1682.151
